timestamp,TopCornerOfBoundary,item,class
2025-11-15T17:22:28.445933,"279,141",tin can,metal
2025-11-15T17:22:28.448885,"365,168",paper bag,paper
2025-11-15T17:22:28.449884,"366,168",coffee cup with sleeve,liquid
2025-11-15T17:22:28.615664,"280,140",cup lid,plastic
2025-11-15T17:22:28.445933,"279,141",blueberry,fruit
2025-11-15T17:22:28.448885,"365,168",pizza,food
2025-11-15T17:22:28.449884,"366,168",bannana peel, compost
2025-11-15T17:22:28.449884,"366,168",trying new, compost
2025-11-15T17:22:28.449884,"366,168",again new, compost
2025-11-15T17:22:28.449884,"366,168",bgain new, compost
2025-11-15T17:22:28.449884,"366,168",cgain new, compost
2025-11-15T17:22:28.449884,"366,168",dgain new, compost
