2025-11-15T12:01:11, track=4, frame=113, item=glass bottle, bin=recycling, category=packaging, area_px=11224, w=61, h=184, x_center=0.301, y_center=0.475, conf=0.393, co2_kg=0.1500, co2_saved_kg=0.0450
2025-11-15T12:01:25, track=7, frame=173, item=glass bottle, bin=recycling, category=packaging, area_px=17784, w=76, h=234, x_center=0.500, y_center=0.492, conf=0.517, co2_kg=0.1500, co2_saved_kg=0.0450
2025-11-15T12:02:37, track=10, frame=296, item=glass bottle, bin=recycling, category=packaging, area_px=10498, w=58, h=181, x_center=0.367, y_center=0.480, conf=0.497, co2_kg=0.1500, co2_saved_kg=0.0450
2025-11-15T12:05:05, track=11, frame=468, item=paper bag, bin=recycling, category=packaging, area_px=6956, w=74, h=94, x_center=0.891, y_center=0.594, conf=0.378, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:05:20, track=12, frame=517, item=paper bag, bin=recycling, category=packaging, area_px=6789, w=73, h=93, x_center=0.891, y_center=0.595, conf=0.480, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:08:06, track=14, frame=1211, item=paper bag, bin=recycling, category=packaging, area_px=6789, w=73, h=93, x_center=0.890, y_center=0.593, conf=0.354, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:10:54, track=17, frame=1977, item=paper bag, bin=recycling, category=packaging, area_px=6789, w=73, h=93, x_center=0.890, y_center=0.593, conf=0.357, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:11:56, track=23, frame=2264, item=paper bag, bin=recycling, category=packaging, area_px=6862, w=73, h=94, x_center=0.890, y_center=0.592, conf=0.363, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:13:09, track=29, frame=2599, item=paper bag, bin=recycling, category=packaging, area_px=6716, w=73, h=92, x_center=0.890, y_center=0.592, conf=0.358, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:15:00, track=56, frame=3113, item=paper bag, bin=recycling, category=packaging, area_px=6882, w=74, h=93, x_center=0.891, y_center=0.593, conf=0.366, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:15:09, track=57, frame=3156, item=paper bag, bin=recycling, category=packaging, area_px=6716, w=73, h=92, x_center=0.890, y_center=0.592, conf=0.380, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:15:19, track=59, frame=3200, item=paper bag, bin=recycling, category=packaging, area_px=6789, w=73, h=93, x_center=0.890, y_center=0.593, conf=0.395, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:18:59, track=63, frame=4226, item=paper bag, bin=recycling, category=packaging, area_px=6624, w=72, h=92, x_center=0.891, y_center=0.592, conf=0.370, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:24:05, track=76, frame=5656, item=paper bag, bin=recycling, category=packaging, area_px=7050, w=75, h=94, x_center=0.890, y_center=0.592, conf=0.416, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:25:23, track=77, frame=6019, item=paper bag, bin=recycling, category=packaging, area_px=6882, w=74, h=93, x_center=0.891, y_center=0.593, conf=0.354, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:27:00, track=104, frame=6459, item=paper bag, bin=recycling, category=packaging, area_px=6882, w=74, h=93, x_center=0.891, y_center=0.593, conf=0.379, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:27:08, track=105, frame=6496, item=glass bottle, bin=recycling, category=packaging, area_px=44044, w=143, h=308, x_center=0.677, y_center=0.679, conf=0.351, co2_kg=0.1500, co2_saved_kg=0.0450
2025-11-15T12:27:44, track=106, frame=6666, item=paper bag, bin=recycling, category=packaging, area_px=4600, w=50, h=92, x_center=0.905, y_center=0.598, conf=0.386, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:27:47, track=107, frame=6680, item=paper bag, bin=recycling, category=packaging, area_px=10656, w=96, h=111, x_center=0.416, y_center=0.591, conf=0.565, co2_kg=0.0200, co2_saved_kg=0.0100
2025-11-15T12:28:41, track=108, frame=6862, item=plastic bottle, bin=recycling, category=packaging, area_px=43146, w=141, h=306, x_center=0.676, y_center=0.681, conf=0.427, co2_kg=0.0800, co2_saved_kg=0.0560
2025-11-15T12:28:43, track=113, frame=6869, item=plastic bottle, bin=recycling, category=packaging, area_px=42840, w=140, h=306, x_center=0.677, y_center=0.681, conf=0.363, co2_kg=0.0800, co2_saved_kg=0.0560
2025-11-15T12:28:54, track=115, frame=6906, item=paper bag, bin=recycling, category=packaging, area_px=18526, w=157, h=118, x_center=0.460, y_center=0.600, conf=0.422, co2_kg=0.0200, co2_saved_kg=0.0100
